onset	offset	midi	Note
0	2	30.0	F#1
3	4	40.0	E2
4	6	40.0	E2
6	9	32.0	G#1
9	11	44.0	G#2
11	14	40.0	E2
14	16	43.0	G2
16	17	40.0	E2
19	20	40.0	E2
20	22	39.0	D#2
22	24	39.0	D#2
24	25	42.0	F#2
25	26	42.0	F#2
26	27	41.0	F2
28	29	39.0	D#2
29	30	39.0	D#2
30	32	41.0	F2
32	35	33.0	A1
35	36	38.0	D2
36	38	37.0	C#2
38	39	40.0	E2
39	40	40.0	E2
40	42	40.0	E2
42	43	40.0	E2
43	44	37.0	C#2
45	48	37.0	C#2
48	49	39.0	D#2
49	51	32.0	G#1
52	53	39.0	D#2
53	54	39.0	D#2
54	55	39.0	D#2
56	57	36.0	C2
58	59	39.0	D#2
60	61	39.0	D#2
61	62	37.0	C#2
62	63	39.0	D#2
63	64	42.0	F#2

